iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0253+133,   6, 23.1, 2005.82, 1996.00, 2019.06,  44.1457693322, 0.106, +13.5764847423, 0.218
0253-218,   5, 21.4, 2009.10, 1997.50, 2018.88,  44.0534955700, 0.077, -21.6247625354, 0.101
0254+155,   1,  0.0, 2020.05, 2020.05, 2020.05,  44.2288183220, 0.000, +15.7120015751, 0.000
0254+185,   4, 23.5, 2012.40, 1996.20, 2019.69,  44.4401185738, 0.155, +18.7848221631, 0.390
0254+434,   2, 13.2, 2012.11, 2005.50, 2018.72,  44.4961571160, 0.017, +43.6437986855, 0.218
0254-334,  11, 16.3, 2011.37, 2002.09, 2018.38,  44.1775113833, 0.097, -33.2559103089, 0.160
0255+288,   3,  4.5, 2016.22, 2013.56, 2018.05,  44.7299215242, 0.042, +29.0004466346, 0.145
0255-124,   3, 13.2, 2012.85, 2005.36, 2018.61,  44.4208524611, 0.050, -12.2003837309, 0.201
0256+054,   4, 22.8, 2011.29, 1995.54, 2018.38,  44.7105263910, 0.063,  +5.6855670080, 0.203
0256+075,  55, 29.6, 1997.48, 1987.59, 2017.23,  44.8628192548, 0.067,  +7.7943452952, 0.109
0256+115,   3,  1.5, 2018.02, 2017.47, 2018.99,  44.6864811173, 0.160, +11.7155603308, 0.158
0256+148,   1,  0.0, 2020.05, 2020.05, 2020.05,  44.7835808316, 0.000, +15.0508042142, 0.000
0256+192,   5, 13.3, 2013.93, 2005.42, 2018.73,  44.8735664210, 0.102, +19.4289797776, 0.151
0256+423,   3, 22.3, 2007.40, 1996.43, 2018.72,  44.9070600423, 0.031, +42.5971701576, 0.422
0256-005, 240, 23.2, 2014.56, 1997.35, 2020.57,  44.8688173231, 0.016,  -0.3333264850, 0.017
0256-256,   4, 13.4, 2013.97, 2005.52, 2018.88,  44.5699809539, 0.075, -25.4996642402, 0.088
0256-393,   7, 17.2, 2013.95, 2002.09, 2019.25,  44.5585204627, 0.048, -39.1613011323, 0.058
0257-057,   4, 14.4, 2013.72, 2004.40, 2018.84,  45.0054169446, 0.116,  -5.5223228097, 0.283
0258+011,   7, 24.0, 2013.73, 1995.54, 2019.50,  45.3483623917, 0.066,  +1.3099989957, 0.126
0258+058,   4, 22.9, 2011.30, 1995.54, 2018.42,  45.3904745749, 0.187,  +6.0409117408, 0.051
0258+533,   4, 23.9, 2007.49, 1994.61, 2018.51,  45.5947309044, 0.059, +53.5295791383, 0.074
0258+772,   1,  0.0, 2006.12, 2006.12, 2006.12,  46.2268503499, 0.000, +77.4587826659, 0.000
0258+818,   2,  1.0, 2017.75, 2017.24, 2018.27,  46.6622703794, 0.665, +82.0090767455, 0.115
0258-163,   2,  4.0, 2016.60, 2014.59, 2018.61,  45.2815643260, 0.037, -16.1343378175, 0.314
0258-170,   3, 13.1, 2012.91, 2005.52, 2018.61,  45.3192611633, 0.094, -16.8791949757, 0.425
0258-184,   3, 13.1, 2011.61, 2005.52, 2018.61,  45.2779770138, 0.075, -18.2049506272, 0.318
0259+121,  12, 24.3, 1999.28, 1992.84, 2017.10,  45.6272782399, 0.210, +12.3157646301, 0.277
