num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
80,  -0.661,   0.952,  -0.046,   1.771,  -0.123,  -0.723,  -0.933,   1.707,   0.945,   1.100,   0.736,   0.923,   0.685,   0.821,   1.016,   0.818,  -1.682,  -0.100,  -0.744,   0.834,  -0.736,  -1.633,  -1.758,   0.935,  -0.688,   0.823,  -0.124,   1.625,   0.007,  -0.651,  -0.977,   1.600,   0.313,   2.042,   0.747,   2.631,   0.575,   0.130,   0.089,   2.438
85,  -0.538,   1.049,   0.025,   1.748,  -0.043,  -0.647,  -0.617,   1.633,   1.010,   0.976,   0.646,   0.851,   0.771,   0.715,   1.145,   0.742,  -1.492,   0.183,  -0.662,   0.969,  -0.783,  -1.231,  -1.629,   0.995,  -0.550,   0.980,   0.026,   1.642,  -0.025,  -0.695,  -0.744,   1.436,   0.370,   2.124,   0.649,   2.554,   0.571,   0.051,   0.397,   2.385
90,  -0.718,   1.036,  -0.096,   1.660,  -0.145,  -0.660,  -0.849,   1.581,   0.727,   0.899,   0.604,   0.737,   0.638,   0.722,   0.969,   0.738,  -1.538,   0.040,  -0.784,   0.901,  -0.750,  -1.337,  -1.817,   0.855,  -0.687,   1.005,  -0.057,   1.681,  -0.121,  -0.653,  -0.890,   1.508,   0.026,   2.056,   0.469,   2.398,   0.426,   0.042,   0.104,   2.250
95,  -0.632,   0.868,  -0.128,   1.621,  -0.110,  -0.715,  -0.647,   1.485,   0.919,   0.845,   0.652,   0.723,   0.626,   0.700,   0.939,   0.706,  -1.439,  -0.086,  -0.706,   0.875,  -0.649,  -1.251,  -1.456,   0.847,  -0.679,   0.846,  -0.066,   1.577,  -0.161,  -0.729,  -0.571,   1.410,   0.200,   1.668,   0.553,   2.422,   0.529,  -0.075,   0.144,   2.000
100,  -0.582,   0.976,   0.043,   1.582,  -0.100,  -0.580,  -0.852,   1.521,   0.720,   0.970,   0.580,   0.763,   0.601,   0.697,   0.943,   0.705,  -1.284,   0.136,  -0.441,   0.850,  -0.704,  -1.236,  -1.806,   0.848,  -0.545,   0.906,   0.041,   1.420,  -0.079,  -0.589,  -0.805,   1.467,   0.068,   1.830,   0.572,   2.400,   0.471,   0.141,  -0.046,   2.226
105,  -0.746,   0.978,   0.047,   1.569,  -0.077,  -0.747,  -0.721,   1.493,   0.614,   0.906,   0.497,   0.707,   0.620,   0.575,   0.916,   0.640,  -1.255,   0.028,  -0.399,   0.871,  -0.564,  -1.310,  -1.684,   0.821,  -0.815,   1.036,   0.058,   1.471,   0.021,  -0.726,  -0.814,   1.506,  -0.050,   1.814,   0.499,   2.237,   0.484,  -0.182,   0.109,   2.111
110,  -0.647,   1.021,  -0.146,   1.556,  -0.088,  -0.710,  -0.875,   1.609,   0.769,   0.751,   0.492,   0.678,   0.668,   0.717,   0.878,   0.647,  -1.352,   0.315,  -0.736,   0.888,  -0.740,  -1.339,  -1.792,   0.924,  -0.554,   1.000,  -0.072,   1.548,  -0.009,  -0.707,  -0.925,   1.581,   0.079,   1.724,   0.310,   2.169,   0.502,  -0.020,  -0.157,   2.212
115,  -0.840,   1.006,   0.026,   1.644,  -0.106,  -0.763,  -0.760,   1.468,   0.698,   0.833,   0.518,   0.681,   0.497,   0.591,   0.853,   0.583,  -1.390,   0.208,  -0.539,   0.923,  -0.547,  -1.331,  -1.465,   0.916,  -0.902,   1.114,   0.072,   1.616,  -0.092,  -0.756,  -0.883,   1.486,  -0.204,   1.848,   0.531,   2.291,   0.372,  -0.136,  -0.043,   2.003
120,  -0.710,   0.941,  -0.013,   1.476,  -0.085,  -0.751,  -0.882,   1.494,   0.643,   0.780,   0.426,   0.643,   0.532,   0.598,   0.770,   0.593,  -1.341,   0.278,  -0.473,   0.822,  -0.676,  -1.283,  -1.619,   1.002,  -0.665,   0.894,   0.004,   1.398,  -0.034,  -0.807,  -0.882,   1.450,  -0.006,   1.802,   0.372,   2.163,   0.477,  -0.035,  -0.191,   2.061
125,  -0.709,   1.034,  -0.041,   1.500,  -0.142,  -0.750,  -0.869,   1.481,   0.641,   0.754,   0.480,   0.731,   0.516,   0.553,   0.723,   0.491,  -1.240,   0.357,  -0.577,   0.785,  -0.645,  -1.251,  -1.538,   1.023,  -0.711,   0.878,  -0.024,   1.328,  -0.108,  -0.831,  -0.944,   1.466,  -0.094,   1.758,   0.485,   2.143,   0.387,  -0.193,  -0.141,   2.002
130,  -0.625,   0.859,  -0.062,   1.347,  -0.089,  -0.644,  -0.753,   1.320,   0.625,   0.685,   0.438,   0.610,   0.468,   0.588,   0.669,   0.508,  -1.158,   0.218,  -0.487,   0.708,  -0.616,  -1.232,  -1.388,   0.841,  -0.647,   0.816,  -0.063,   1.274,  -0.029,  -0.614,  -0.791,   1.299,   0.043,   1.555,   0.352,   1.953,   0.369,  -0.029,  -0.117,   1.811
135,  -0.741,   0.848,   0.028,   1.394,  -0.036,  -0.758,  -0.823,   1.453,   0.629,   0.726,   0.406,   0.644,   0.538,   0.545,   0.733,   0.516,  -1.370,   0.235,  -0.359,   0.754,  -0.581,  -1.339,  -1.498,   0.994,  -0.770,   0.763,   0.002,   1.250,   0.016,  -0.752,  -0.814,   1.463,  -0.160,   1.702,   0.435,   2.003,   0.453,  -0.216,  -0.205,   2.038
140,  -0.741,   1.063,  -0.017,   1.489,  -0.087,  -0.684,  -0.839,   1.395,   0.615,   0.603,   0.420,   0.618,   0.439,   0.530,   0.751,   0.521,  -1.322,   0.500,  -0.360,   0.846,  -0.539,  -1.242,  -1.559,   0.830,  -0.687,   1.019,  -0.043,   1.515,  -0.070,  -0.663,  -0.870,   1.365,  -0.106,   1.539,   0.380,   2.146,   0.363,  -0.092,  -0.211,   2.007
