iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0650-063,   5, 14.4, 2015.32, 2005.50, 2019.95, 103.2524898579, 0.049,  -6.4257500995, 0.141
0651+410,  13, 23.3, 2008.54, 1996.44, 2019.71, 103.7917697066, 0.062, +41.0028223287, 0.102
0651+428,   4,  1.1, 2018.72, 2018.26, 2019.32, 103.6813581190, 0.198, +42.7996488441, 0.107
0651-108,   1,  0.0, 2020.64, 2020.64, 2020.64, 103.5443308230, 0.000, -10.8936028569, 0.000
0651-194,   5, 14.5, 2015.11, 2005.36, 2019.88, 103.4908567478, 0.095, -19.4943547285, 0.203
0652+426,   4,  3.8, 2017.64, 2015.54, 2019.32, 104.0444253589, 0.113, +42.6174308954, 0.150
0652+577,   4,  5.2, 2017.79, 2014.97, 2020.20, 104.3020893888, 0.251, +57.6990981723, 0.071
0653+139,   2,  0.5, 2019.79, 2019.52, 2020.05, 104.0341005397, 0.342, +13.9146682501, 0.059
0653+254,   2,  0.4, 2019.29, 2019.07, 2019.51, 104.0348249972, 0.544, +25.4178833165, 0.532
0653+322,   5, 12.3, 2015.35, 2007.03, 2019.32, 104.1703714172, 0.124, +32.1590413205, 0.099
0653-033,   5, 15.6, 2015.10, 2004.35, 2019.95, 104.0463357086, 0.067,  -3.3852173761, 0.087
0653-242,   5, 15.1, 2014.88, 2004.40, 2019.53, 103.9532008827, 0.080, -24.2724433121, 0.434
0654+033,   4,  4.2, 2017.50, 2015.21, 2019.38, 104.2465832446, 0.220,  +3.2648449692, 0.152
0654+244,   9, 23.5, 2012.11, 1996.01, 2019.51, 104.2736480181, 0.073, +24.3987206049, 0.079
0655+132,   5,  5.0, 2017.44, 2014.42, 2019.41, 104.4803501584, 0.274, +13.2316483112, 0.313
0655+696,   5, 23.8, 2013.03, 1995.30, 2019.07, 105.2775696608, 0.437, +69.6081716323, 0.049
0655-319,   1,  0.0, 2020.77, 2020.77, 2020.77, 104.3187281117, 0.000, -32.0591176546, 0.000
0656+082,1023, 25.9, 2011.82, 1995.54, 2021.48, 104.8249834690, 0.008,  +8.2252648966, 0.018
0656-062,   6, 15.7, 2015.29, 2004.33, 2020.06, 104.7635493379, 0.459,  -6.3529426114, 0.412
0656-366,   5,  4.8, 2017.55, 2014.61, 2019.44, 104.5871891220, 0.341, -36.7131342790, 0.618
0657+172, 561, 33.2, 2009.78, 1988.23, 2021.44, 105.0063564404, 0.007, +17.1560281650, 0.006
0657-276,   5, 14.0, 2015.11, 2005.52, 2019.53, 104.9579874812, 0.273, -27.7551420178, 0.388
0658+548,   5, 15.9, 2015.12, 2004.33, 2020.26, 105.6927616546, 0.218, +54.7432594133, 0.260
0659+268,   6, 23.1, 2013.01, 1996.37, 2019.51, 105.6324620484, 0.083, +26.7363962999, 0.205
0700+470,   5, 22.8, 2013.33, 1996.61, 2019.38, 106.0398261736, 0.090, +47.0155666074, 0.084
0700-007,   9, 14.9, 2016.41, 2004.35, 2019.26, 105.8295275712, 0.036,  -0.8508771034, 0.106
0700-101,   5, 15.6, 2014.92, 2004.33, 2019.95, 105.6489867795, 0.116, -10.2517825564, 0.099
0700-197, 269, 15.9, 2016.27, 2005.50, 2021.44, 105.6787527602, 0.014, -19.8561209363, 0.020
0700-286,   5, 14.2, 2015.09, 2005.36, 2019.53, 105.6683444030, 0.075, -28.6972357066, 0.109
0700-465,   9, 28.6, 2013.96, 1990.74, 2019.35, 105.3939443326, 1.363, -46.5768409812, 2.506
0701+262,   3,  2.0, 2019.89, 2019.08, 2021.07, 106.2263606508, 0.113, +26.1818412808, 0.268
0701-049,   1,  0.0, 2020.64, 2020.64, 2020.64, 106.0115327667, 0.000,  -4.9899522673, 0.000
0701-130,   5, 14.4, 2015.19, 2005.52, 2019.95, 106.0259844360, 0.041, -13.1228673750, 0.562
0702+400,   5, 12.3, 2014.74, 2007.03, 2019.38, 106.4355095585, 0.105, +39.9755620930, 0.191
0702+612,   5, 24.5, 2012.91, 1994.61, 2019.07, 106.7525656429, 0.092, +61.1698911265, 0.058
0703-133,   1,  0.0, 2020.64, 2020.64, 2020.64, 106.4984234160, 0.000, -13.4145932417, 0.000
0704+384,   5,  3.8, 2017.74, 2015.54, 2019.38, 106.8871251577, 0.749, +38.3703612926, 0.584
0704+819,   5,  2.2, 2018.40, 2017.33, 2019.53, 108.7168256106, 2.685, +81.8652628992, 0.534
0704-231,   6, 10.3, 2016.04, 2009.31, 2019.63, 106.6396583902, 1.032, -23.1938472943, 1.711
