iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
2300+638,   0,   5,   4,   5, 345.672,  64.098,,,,,
2300-189,   0,   5,   5,   4, 345.762, -18.691,,,,,
2300-683,  39, 148,  99, 122, 345.932, -68.127,  +0.00004,  +0.00499, 0.01186, 0.01495, 0.05063
2301+060,   0,   6,   6,   6, 346.118,   6.336,,,,,
2301-103,   0,   5,   2,   5, 345.991, -10.039,,,,,
2302+232,   9,  10,   5,   9, 346.152,  23.519,  +0.00647,  +0.01399, 0.00604, 0.01065,-0.26053
2303-052,   1,   4,   3,   4, 346.564,  -4.997,,,,,
2306-312,   5,  12,   8,   9, 347.310, -30.987,  +0.03528,  +0.02711, 0.01880, 0.03120,-0.15473
2307+106,  31, 104,  80,  73, 347.619,  10.925,  +0.01288,  +0.03359, 0.01436, 0.01665, 0.18837
2309+454,  68, 383, 309, 308, 347.948,  45.732,  +0.00460,  -0.00460, 0.00451, 0.00541,-0.12274
2311-452,   1,   6,   6,   6, 348.539, -44.930,,,,,
2311-477,   0,   6,   5,   5, 348.466, -47.487,,,,,
2312-319,   9,  28,  17,  24, 348.702, -31.644,  +0.00624,  -0.05881, 0.02272, 0.05393, 0.36662
2312-505,   0,   8,   8,   7, 348.935, -50.311,,,,,
2314-340,   2,  20,  13,  16, 349.181, -33.820,,,,,
2314-409,   4,  28,  23,  21, 349.195, -40.689,,,,,
2315-172,   0,   5,   3,   4, 349.547, -16.991,,,,,
2316+238,   3,   5,   4,   4, 349.642,  24.078,,,,,
2318+049, 284, 911, 656, 687, 350.187,   5.231,  -0.00208,  -0.00143, 0.00155, 0.00267,-0.10075
2319+184,   0,   5,   4,   5, 350.619,  18.724,,,,,
2319+272,  14,  28,  22,  20, 350.499,  27.546,  +0.00326,  +0.00501, 0.00469, 0.00865, 0.04986
2319+317,  91, 333, 248, 242, 350.479,  32.069,  -0.00371,  -0.00932, 0.00435, 0.00542, 0.01347
2319+444,  24,  56,  32,  47, 350.585,  44.762,  +0.01801,  +0.01586, 0.00804, 0.01237, 0.12514
2320+506,   8,  46,  35,  40, 350.608,  50.964,  +0.00152,  -0.00441, 0.01054, 0.01488,-0.05794
2320-035,   8,  60,  43,  48, 350.883,  -3.285,  -0.00649,  -0.00048, 0.03312, 0.03445,-0.76048
2320-078,   0,   5,   4,   4, 350.717,  -7.618,,,,,
2321-065,   2,   3,   3,   3, 350.913,  -6.300,,,,,
2321-375,   0,  22,  17,  21, 351.030, -37.240,,,,,
2322-411,   0,   6,   6,   5, 351.264, -40.858,,,,,
2324+151,   0,   8,   7,   6, 351.842,  15.410,,,,,
2325+093,  14,  47,  36,  34, 351.890,   9.669,  +0.00693,  -0.00907, 0.01626, 0.01308, 0.04253
2325-150,   3,  25,  20,  19, 351.950, -14.799,,,,,
2326-477,  20, 129,  95, 100, 352.324, -47.505,  +0.00938,  -0.00803, 0.00858, 0.01100, 0.09748
2328+107,   3,  17,  11,  13, 352.670,  11.005,,,,,
2329-162,   8,  28,  19,  19, 352.911, -15.949,  -0.01316,  +0.06032, 0.01010, 0.01803,-0.02030
2329-384,  24,  77,  67,  58, 352.998, -38.197,  -0.00569,  -0.01586, 0.01248, 0.01569,-0.13049
2329-415,   5,  32,  27,  29, 353.079, -41.310,  +0.14820,  +0.20536, 0.15474, 0.15512, 0.25736
2331+073,   0,   5,   5,   4, 353.553,   7.608,,,,,
2331-240,   2,  29,  21,  26, 353.480, -23.728,,,,,
2333-415,   6,  48,  35,  42, 354.142, -41.256,  -0.01293,  -0.00521, 0.01136, 0.02197,-0.28655
2333-528,   2,  14,  11,  12, 354.051, -52.606,,,,,
2335+267,   0,   5,   2,   4, 354.622,  27.031,,,,,
2335-027,  50, 252, 178, 192, 354.489,  -2.516,  -0.01430,  +0.01086, 0.00396, 0.00489,-0.23887
2335-181,   1,   4,   3,   4, 354.486, -17.872,,,,,
2336+598,   4,   8,   6,   5, 354.838,  60.170,,,,,
2337+264,   3,  19,  17,  13, 355.121,  26.699,,,,,
2337-234,   3,   2,   2,   2, 354.973, -23.178,,,,,
2338+191,   2,   5,   2,   5, 355.328,  19.468,,,,,
2340+233,   1,   6,   5,   4, 355.802,  23.663,,,,,
2340-226,   3,   2,   2,   2, 355.700, -22.395,,,,,
2344+092,   2,  29,  25,  25, 356.653,   9.513,,,,,
2344-514,   3,  33,  26,  31, 356.833, -51.177,,,,,
2345+061,   1,   4,   4,   4, 357.132,   6.417,,,,,
2345-167,   8, 108,  82,  97, 357.011, -16.520,  -0.00326,  +0.00004, 0.00924, 0.01403,-0.09725
2346+052,   0,   5,   4,   5, 357.338,   5.578,,,,,
2346+385,   1,   5,   4,   3, 357.337,  38.822,,,,,
2351+456,   4,  41,  38,  26, 358.590,  45.885,,,,,
2351+550,   0,   5,   5,   3, 358.426,  55.311,,,,,
2351-154,  18,  68,  48,  59, 358.626, -15.220,  -0.00089,  +0.00284, 0.01276, 0.01250,-0.85501
2351-309,   3,  15,   8,  13, 358.448, -30.630,,,,,
2352+495,   1,  22,  18,  15, 358.789,  49.836,,,,,
2353+816,   7,  53,  36,  46, 359.095,  81.881,  -0.00152,  +0.03415, 0.01985, 0.01705,-0.34799
2353-686,  11,  85,  60,  72, 359.003, -68.334,  -0.00168,  -0.00760, 0.01285, 0.01688, 0.20441
2354-117,   0,  17,  14,  17, 359.380, -11.428,,,,,
2355-106, 132, 698, 555, 530, 359.545, -10.336,  +0.00374,  -0.00380, 0.00230, 0.00286,-0.47138
2355-534,  27, 136, 105, 109, 359.472, -53.187,  -0.00380,  +0.02753, 0.00746, 0.01073, 0.32892
2356+196,   3,  13,   9,   8, 359.692,  19.922,,,,,
2356+385, 360, 747, 511, 520, 359.888,  38.845,  +0.00167,  -0.00255, 0.00149, 0.00204,-0.09609
2357-318,  23, 164, 124, 143, 359.898, -31.562,  -0.00430,  +0.01266, 0.00754, 0.01435,-0.13294
2357-326,   2,   3,   2,   1,   0.085, -32.350,,,,,
2358+189,  30,  91,  70,  71,   0.286,  19.243,  +0.00533,  +0.00824, 0.00439, 0.00755, 0.01897
