iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0037-329,   5, 16.0, 2013.81, 2002.09, 2018.07,  10.0730862521, 0.351, -32.7243958444, 1.228
0037-593,  10, 15.1, 2012.90, 2003.68, 2018.74,  10.0327045731, 0.670, -59.0646566030, 0.745
0038+133,   3, 11.4, 2013.35, 2007.03, 2018.44,  10.3217125624, 0.459, +13.6576467655, 0.894
0038+319,   2,  7.9, 2014.66, 2010.70, 2018.61,  10.3163918267, 0.236, +32.1854353431, 0.311
0038-019,   2,  2.5, 2017.17, 2015.92, 2018.42,  10.3583699907, 1.875,  -1.7210211837, 2.856
0038-020,   6, 21.1, 2012.70, 1997.35, 2018.42,  10.2400482211, 0.192,  -1.7755623215, 0.781
0038-326,   6, 17.9, 2014.33, 2002.09, 2019.94,  10.1277284533, 0.216, -32.4223135982, 0.825
0039+211,   1,  0.0, 2018.57, 2018.57, 2018.57,  10.4226936967, 0.000, +21.4028110469, 0.000
0039+230,  24, 19.0, 2003.01, 1991.19, 2010.15,  10.5189382498, 0.078, +23.3336283222, 0.078
0039+568,   6, 24.7, 2012.57, 1994.61, 2019.33,  10.5810478819, 1.277, +57.1434961428, 0.267
0039-407,   2,  0.3, 2018.73, 2018.56, 2018.89,  10.5051007073, 0.030, -40.5110397668, 0.883
0040+098,   4, 22.9, 2011.13, 1995.54, 2018.44,  10.6848823188, 0.305, +10.1636693931, 0.741
0041+047,   1,  0.0, 2019.02, 2019.02, 2019.02,  10.9447112653, 0.000,  +5.0488992857, 0.000
0041+677,   4, 12.9, 2013.79, 2005.52, 2018.38,  11.2114977188, 1.047, +68.0507461472, 0.515
0042+186,   3, 14.1, 2012.45, 2004.33, 2018.44,  11.1759496035, 0.603, +18.9180656244, 0.798
0042+456,   2,  0.6, 2018.72, 2018.44, 2018.99,  11.2501426960, 1.247, +45.9209095533, 0.613
0042-373,   3,  3.1, 2016.75, 2014.97, 2018.07,  11.3002755721, 0.401, -37.0967966112, 1.078
0043+246,   3, 14.2, 2012.44, 2004.33, 2018.57,  11.5326072450, 0.330, +24.9423679201, 0.286
0043-268,   2,  9.4, 2013.78, 2009.06, 2018.50,  11.5574006057, 0.099, -26.5317925778, 1.193
0043-392,   3,  9.0, 2014.78, 2009.06, 2018.07,  11.3771210937, 1.267, -39.0008135991, 0.951
0044+030,   4,  1.3, 2017.46, 2016.71, 2018.05,  11.7746611443, 1.153,  +3.3318847158, 0.314
0044+387,   3, 22.2, 2009.68, 1996.43, 2018.61,  11.6982428714, 0.209, +39.0130967934, 0.260
0044+566,   5, 23.7, 2008.94, 1994.61, 2018.35,  11.7517861257, 1.342, +56.9617763561, 0.136
0044-846,   6,  5.0, 2016.60, 2015.35, 2020.38,  11.1112073000,11.236, -84.3777747573, 1.262
0045+243,   4, 22.6, 2006.34, 1996.00, 2018.58,  11.9327972120, 0.301, +24.5877762468, 0.330
0045-000,   1,  0.0, 2020.23, 2020.23, 2020.23,  12.0796749805, 0.000,  +0.2492042273, 0.000
0046+063,   4, 13.7, 2010.33, 2004.33, 2018.05,  12.2446787647, 1.783,  +6.6684647390, 0.620
0046+316,  26, 23.6, 2004.21, 1996.37, 2019.94,  12.1964228601, 0.069, +31.9569680348, 0.101
0046+511,   8, 23.7, 2009.52, 1994.61, 2018.35,  12.4082963525, 0.934, +51.4704701690, 0.222
0046+861,   3, 11.6, 2010.88, 2005.55, 2017.15,  13.1369018825, 4.367, +86.4622922247, 0.234
0046-315,   3, 15.1, 2010.30, 2002.09, 2017.23,  12.3454205278, 0.780, -31.2742566108, 0.629
0047+023,  33, 24.2, 2013.29, 1995.54, 2019.79,  12.4301497497, 0.217,  +2.6177162522, 0.270
0047-051,   3, 21.1, 2010.12, 1997.35, 2018.42,  12.5897283211, 0.188,  -4.8723869130, 1.524
0047-579,  38, 31.3, 2004.48, 1988.01, 2019.28,  12.4978045222, 0.350, -57.6409277414, 0.171
0048+447,   4, 21.9, 2011.85, 1996.61, 2018.50,  12.9019738309, 0.399, +44.9933218155, 0.161
0048-071,   3, 21.1, 2010.12, 1997.35, 2018.42,  12.7842076303, 0.143,  -6.8339520441, 1.549
0048-097,1882, 39.7, 2002.30, 1981.46, 2021.15,  12.6721557818, 0.020,  -9.4847806223, 0.054
0048-427, 182, 18.8, 2013.97, 2002.09, 2020.92,  12.7895908780, 0.217, -42.4425814857, 0.206
0049+003,   3,  0.5, 2017.93, 2017.60, 2018.14,  13.0232027009, 4.636,  +0.5939243450,30.288
0049+437,   5, 22.1, 2008.77, 1996.43, 2018.50,  13.1159410171, 0.264, +44.0484767317, 0.222
0050-287,   3, 13.0, 2011.88, 2005.55, 2018.51,  13.2189846591, 0.490, -28.4317171746, 1.844
0051+291,   2,  5.1, 2016.02, 2013.47, 2018.58,  13.4346812392, 0.048, +29.4186391912, 0.014
0051+679,   5, 23.1, 2009.07, 1995.30, 2018.38,  13.5734232122, 0.971, +68.1864378303, 0.479
0051+706,   3, 23.4, 2009.52, 1995.30, 2018.67,  13.5736869617, 0.787, +70.8990606290, 0.184
0051-077,   3, 12.9, 2012.85, 2005.52, 2018.44,  13.4021490496, 0.136,  -7.4582276415, 1.713
0052-125,   3, 11.7, 2012.57, 2005.50, 2017.24,  13.7990940024, 0.600, -12.2991938879, 1.023
0052-201,   4, 11.8, 2010.79, 2005.42, 2017.24,  13.6372854592, 0.447, -19.8836117711, 1.006
0054+078,   3,  1.5, 2018.02, 2017.47, 2018.99,  14.3281848084,27.624,  +8.0935853342,12.468
0054+161, 163, 24.9, 2015.21, 1996.20, 2021.07,  14.2303931145, 0.055, +16.4203724747, 0.073
0054-006,   6, 14.2, 2015.90, 2005.55, 2019.79,  14.3208427880, 0.201,  -0.4092157664, 0.870
0055+060,   5, 13.7, 2011.45, 2004.33, 2018.07,  14.6408523450, 0.239,  +6.3350205558, 0.437
0055+300,  24, 23.4, 2002.01, 1996.37, 2019.79,  14.4536805992, 0.295, +30.3524477704, 0.115
0055+329,   3, 13.2, 2012.87, 2005.52, 2018.67,  14.6336207532, 0.669, +33.1881152026, 0.084
0055-016,   3,  0.8, 2018.52, 2018.14, 2018.97,  14.3954357542, 1.922,  -1.3909851618, 1.503
0055-059, 130, 23.7, 2014.38, 1997.35, 2021.04,  14.5211095377, 0.098,  -5.6645216626, 0.134
0055-328,   3, 15.1, 2011.43, 2002.09, 2017.23,  14.5092931539, 0.404, -32.5724305794, 0.131
0055-340,   2,  4.5, 2015.00, 2012.76, 2017.24,  14.5651743631, 0.631, -33.7993038268, 0.974
0056+579,   3, 16.3, 2011.49, 2002.09, 2018.38,  14.9675375888, 0.389, +58.2065790216, 0.824
0056-001,  20, 29.6, 1999.59, 1989.95, 2019.59,  14.7729788056, 0.148,  +0.1143393101, 0.128
0056-187,   3,  3.3, 2016.82, 2014.97, 2018.27,  14.6552749288, 3.846, -18.4936232771, 5.705
0056-572,  16, 30.5, 2007.25, 1987.44, 2017.90,  14.6940897944, 1.452, -56.9865197020, 0.479
0057+334,   3, 13.1, 2012.87, 2005.52, 2018.67,  15.1595445823, 0.644, +33.7517004356, 0.890
0057+678,   4, 23.1, 2011.26, 1995.30, 2018.42,  15.2152665551, 1.119, +68.1390363401, 0.330
0057-338,   2,  9.3, 2012.58, 2007.93, 2017.24,  15.0391293210, 0.151, -33.6255382131, 0.293
0058+058,   2,  3.1, 2016.52, 2014.97, 2018.07,  15.3111256749, 0.085,  +6.0956956971, 0.207
0058+498,   3, 21.8, 2007.32, 1996.61, 2018.38,  15.3208228367, 0.988, +50.0791639295, 2.522
0059+163,   5, 22.5, 2003.88, 1996.00, 2018.50,  15.4904980435, 0.210, +16.6613757572, 0.324
0059+581,2826, 28.9, 2005.86, 1992.27, 2021.15,  15.6906765803, 0.027, +58.4030935082, 0.020
0059-287,   3, 20.9, 2010.26, 1997.65, 2018.51,  15.4682902800, 0.174, -28.5223404606, 4.840
0100-270,   3, 11.5, 2013.50, 2007.03, 2018.51,  15.7348079870, 0.503, -26.7768099705, 1.270
0100-760,   3,  1.5, 2017.08, 2016.57, 2018.07,  15.5777501874, 6.572, -75.7810389753, 1.754
0101+113,   2,  3.9, 2016.55, 2014.59, 2018.50,  16.0442531204, 0.158, +11.5711945321, 0.432
0101-126,   2,  1.0, 2017.83, 2017.32, 2018.33,  15.9383705562, 0.186, -12.3789257363, 0.021
0102+480,   3, 21.9, 2009.71, 1996.61, 2018.50,  16.4580338648, 0.363, +48.3175536098, 0.309
0102+511,   3, 21.8, 2007.52, 1996.61, 2018.38,  16.3731605688, 0.253, +51.4296062794, 0.312
0102-245,   4, 21.1, 2007.17, 1997.50, 2018.57,  16.2425224867, 0.100, -24.2745683249, 0.308
0103+057,   5,  1.8, 2017.74, 2016.74, 2018.52,  16.4965414592, 1.575,  +6.0164761032, 6.744
0103+127,   5, 22.9, 2011.78, 1996.20, 2019.06,  16.6389852655, 0.131, +13.0007234237, 0.543
0103+253,   3, 22.2, 2009.85, 1996.37, 2018.58,  16.5457039973, 0.458, +25.6584712722, 0.282
0103+337,   3, 22.3, 2009.82, 1996.37, 2018.67,  16.5012219493, 0.441, +34.0341628601, 0.402
0103-021,   3, 21.1, 2010.13, 1997.35, 2018.44,  16.5958096755, 0.595,  -1.9273371689, 1.631
0104+195,   3, 13.1, 2012.77, 2005.36, 2018.51,  16.7192969819, 1.520, +19.8507119522, 2.144
0104-035,   3, 12.9, 2013.01, 2005.55, 2018.50,  16.6801195206, 0.257,  -3.2600820826, 1.315
0104-275,  11, 22.1, 2015.53, 1997.65, 2019.79,  16.6086751752, 0.193, -27.3032847523, 0.270
0104-408,1647, 32.2, 2008.63, 1988.96, 2021.15,  16.6879498768, 0.060, -40.5722112214, 0.063
0105+129,   3, 11.5, 2013.30, 2006.96, 2018.51,  16.9415076001, 1.445, +13.2014424871, 1.710
0105+259,   3, 22.2, 2009.85, 1996.37, 2018.58,  16.9495262891, 0.515, +26.1857419092, 0.777
0105-008,   3, 21.2, 2010.27, 1997.35, 2018.50,  17.1118440264, 0.177,  -0.6233791414, 0.075
0106+013,1894, 40.5, 1994.99, 1980.57, 2021.04,  17.1615462900, 0.026,  +1.5834214688, 0.047
0106+130,   2,  0.5, 2018.75, 2018.51, 2018.99,  17.2202908050, 0.607, +13.3372974605, 0.359
0106+315,   2,  5.6, 2015.85, 2013.03, 2018.67,  17.3661964013, 0.168, +31.8322359223, 0.662
0106+612,   4, 16.3, 2012.96, 2002.09, 2018.42,  17.4431016780, 0.287, +61.5584598743, 0.144
0106+678,   4, 23.1, 2011.26, 1995.30, 2018.42,  17.5536395745, 0.330, +68.0947824348, 0.232
