iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec, med_err_ra, med_err_dec
1523-042,   6, 14.4, 2015.97, 2005.52, 2019.95, 231.5625610806, 0.045,  -4.4194605909, 0.262, 0.131, 0.289
1523-172,   6,  3.1, 2018.16, 2016.57, 2019.63, 231.6046579980, 0.140, -17.4327456383, 0.230, 0.284, 0.532
1524+101,   1,  0.0, 2020.02, 2020.02, 2020.02, 231.6931165254, 0.000,  +9.9862599057, 0.000, 0.182, 0.363
1524-136,   6,  5.0, 2017.83, 2014.60, 2019.63, 231.7476780456, 0.112, -13.8500732745, 0.310, 0.197, 0.512
1525+314,   5, 23.0, 2013.17, 1996.37, 2019.41, 231.8280706290, 0.106, +31.2567735819, 0.099, 0.128, 0.176
1525+613,   5,  5.2, 2017.18, 2014.68, 2019.88, 231.5089490777, 0.296, +61.1757466885, 0.127, 0.358, 0.430
1525+737,   4,  4.9, 2017.87, 2015.31, 2020.26, 231.1723946328, 0.185, +73.6002231990, 0.066, 0.192, 0.131
1526+384,   3,  5.9, 2016.86, 2013.56, 2019.41, 232.1541921995, 0.039, +38.2683063371, 0.180, 0.186, 0.247
1526+670,   8, 24.1, 2014.14, 1995.30, 2019.35, 231.6786425755, 0.154, +66.8485116529, 0.072, 0.247, 0.259
1526-189,   5,  5.2, 2017.81, 2014.44, 2019.63, 232.4172582508, 0.172, -19.0818317721, 0.281, 0.426, 0.913
1527-196,  10,  3.0, 2018.25, 2016.75, 2019.72, 232.6202665240, 0.058, -19.8442201636, 0.129, 0.223, 0.479
1528+240,   4,  1.8, 2018.78, 2018.01, 2019.85, 232.6513404763, 0.195, +23.8768654589, 0.311, 0.524, 0.972
1528+381,   4, 12.4, 2014.63, 2007.03, 2019.41, 232.5677173513, 0.166, +37.9753240576, 0.176, 0.173, 0.244
1528-274,   5,  4.8, 2017.90, 2015.31, 2020.14, 232.8508330054, 0.216, -27.5919509464, 0.359, 0.382, 0.753
1528-684,   4,  2.7, 2016.04, 2015.36, 2018.07, 233.3937013193, 0.474, -68.6221255851, 0.233, 0.436, 0.643
1529+346,   4, 14.0, 2014.23, 2005.42, 2019.44, 232.9131335942, 0.151, +34.5010650764, 0.095, 0.313, 0.446
1529+441,   2,  1.4, 2019.65, 2018.93, 2020.36, 232.7603815848, 0.289, +43.9437971170, 1.969, 2.263, 1.912
1529+697,   5,  2.3, 2018.60, 2017.54, 2019.88, 232.3107908574, 0.579, +69.5831643943, 0.142, 0.514, 0.283
1529-131,   8, 14.7, 2016.52, 2005.55, 2020.26, 233.1890613977, 0.074, -13.3194682786, 0.089, 0.159, 0.236
