iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1957-135,   4,   1,   0,   1, 300.176, -13.426,,,,,
1958+103,   5,   0,   0,   0, 300.294,  10.466,  +0.05491,  -0.04006, 0.04625, 0.06358,-0.35656
1958-179,1614, 100,  65,  45, 300.238, -17.816,  -0.00361,  -0.00467, 0.00061, 0.00092,-0.02343
1959+067,   5,   1,   1,   1, 300.540,   6.854,  -0.02900,  -0.15088, 0.06653, 0.10210, 0.33296
1959+241,   2,   3,   3,   1, 300.474,  24.278,,,,,
1959+437,   5,   0,   0,   0, 300.304,  43.881,  +0.06460,  +0.04910, 0.07880, 0.12218, 0.29582
1959+650,   4,   1,   0,   1, 299.999,  65.149,,,,,
1959-150,   3,   2,   2,   0, 300.539, -14.925,,,,,
1959-169,   6,   0,   0,   0, 300.680, -16.823,  +0.07945,  +0.07760, 0.06487, 0.14372,-0.01301
1959-639,   4,   1,   1,   0, 301.123, -63.790,,,,,
2000+148,  67,   2,   1,   2, 300.675,  15.021,  +0.00296,  -0.00030, 0.00359, 0.00611,-0.18137
2000+472, 404, 193, 186,  17, 300.543,  47.425,  +0.00645,  -0.00412, 0.00112, 0.00183,-0.01733
2000-330,  31,   1,   0,   1, 300.850, -32.863,  +0.01773,  -0.02487, 0.00662, 0.01766,-0.13133
2001+304,   5,   0,   0,   0, 300.876,  30.575,  +0.00157,  -0.01035, 0.00639, 0.01558,-0.05064
2001+449,   5,   0,   0,   0, 300.717,  45.102,  -0.00145,  -0.00189, 0.00506, 0.01064,-0.01852
2002-185,   7,   0,   0,   0, 301.322, -18.368,  -0.00365,  +0.06361, 0.01136, 0.03959,-0.20717
2002-233,   6,   0,   0,   0, 301.486, -23.174,  +0.04259,  -0.04481, 0.01707, 0.04480,-0.35777
2002-375,  88,  10,  10,   3, 301.479, -37.395,  -0.01198,  +0.01016, 0.00685, 0.01605,-0.10640
2003+104,   5,   0,   0,   0, 301.376,  10.561,  +0.11168,  -0.00393, 0.07514, 0.15624,-0.11556
2003+662,   4,   1,   1,   0, 300.977,  66.432,,,,,
2004+443,   6,   0,   0,   0, 301.467,  44.482,  +0.11352,  -0.13254, 0.11324, 0.21541,-0.23678
2004-125,   5,   0,   0,   0, 301.701, -12.382,  -0.03438,  -0.07277, 0.04825, 0.11389, 0.24094
2004-447,   5,   1,   1,   0, 301.980, -44.579,  -0.02577,  +0.15064, 0.02055, 0.07828,-0.22451
