iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1406-267, 141,  47,  31,  36, 212.459, -26.960,  +0.00028,  -0.03330, 0.01958, 0.03362, 0.08554
1409+218,   7,   2,   2,   1, 212.979,  21.573,  -0.01231,  +0.08434, 0.05263, 0.05458,-0.34164
1412-368,  28,   4,   4,   0, 213.858, -37.091,  -0.05292,  -0.10976, 0.03299, 0.07067, 0.11391
1413+135, 113,  24,  18,  14, 213.995,  13.340,  +0.00978,  +0.00010, 0.00694, 0.01311,-0.08702
1413+349,   6,   0,   0,   0, 214.017,  34.743,  -0.02684,  -0.10289, 0.04046, 0.06425, 0.08424
1416+067,  15,   3,   2,   2, 214.784,   6.476,  -0.10836,  -0.07956, 0.01743, 0.02440,-0.01677
1417+273,  24,   2,   2,   1, 214.997,  27.107,  -0.00930,  -0.01203, 0.01244, 0.01603,-0.19445
1417+385, 685,  39,  25,  22, 214.944,  38.363,  -0.00006,  -0.00194, 0.00235, 0.00325, 0.00379
1418+546,1106,  81,  58,  49, 214.944,  54.387,  +0.00046,  -0.00708, 0.00161, 0.00184,-0.05487
1418-782,   6,   1,   1,   0, 215.931, -78.493,  -0.26605,  +0.00008, 0.41190, 0.74539, 0.57169
1420+326,   9,   2,   0,   2, 215.627,  32.386,  -0.00357,  +0.04355, 0.03153, 0.04406,-0.32601
1420-679,  50,   7,   3,   5, 216.231, -68.133,  -0.00803,  +0.00005, 0.04727, 0.06659, 0.00701
1423+146,  47,   8,   5,   5, 216.454,  14.416,  -0.00780,  +0.05546, 0.01189, 0.02034, 0.05823
1424+240,  59,   3,   1,   3, 216.752,  23.800,  -0.02432,  +0.00223, 0.01878, 0.02822,-0.09970
1424+366,  47,   3,   2,   2, 216.655,  36.419,  +0.02558,  -0.00186, 0.01169, 0.01368,-0.04983
1424-418,1794, 182, 110, 124, 216.985, -42.105,  -0.00248,  -0.00931, 0.00251, 0.00384,-0.01910
1427+543,  12,   0,   0,   0, 217.341,  54.103,  +0.05784,  -0.04719, 0.01843, 0.02181,-0.20436
1428+370,  31,   6,   4,   2, 217.669,  36.818,  +0.01360,  +0.01632, 0.03175, 0.03476, 0.07060
1428+422,  16,   0,   0,   0, 217.599,  42.077,  -0.01066,  +0.01225, 0.01504, 0.01973,-0.32690
1430+365,   8,   0,   0,   0, 218.166,  36.302,  -0.05259,  +0.06285, 0.05078, 0.09298,-0.51734
1430-178,  15,   3,   2,   3, 218.240, -18.026,  +0.00194,  +0.02792, 0.01533, 0.03315,-0.37440
1432+200,  78,   8,   7,   6, 218.666,  19.867,  +0.01364,  +0.01458, 0.01036, 0.01759, 0.03932
1433+304,   6,   0,   0,   0, 218.898,  30.207,  +0.01478,  +0.00193, 0.02222, 0.03178, 0.01414
1434+235,   5,   0,   0,   0, 219.171,  23.351,  -0.01810,  +0.08829, 0.02941, 0.06448,-0.00742
1435+638,  28,   3,   3,   3, 219.191,  63.611,  +0.03403,  -0.01958, 0.01347, 0.01377,-0.04267
1435-218,  32,   4,   4,   2, 219.539, -22.082,  -0.01055,  -0.00415, 0.01281, 0.01622,-0.19926
