iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1055+201,   8,   0,   0,   0, 164.575,  19.864,  +0.00400,  -0.03830, 0.00787, 0.02001,-0.28127
1055+433,   5,   0,   0,   0, 164.512,  43.078,  -0.00862,  -0.00140, 0.01177, 0.02347,-0.51702
1055+567,   4,   1,   1,   0, 164.657,  56.470,,,,,
1055-028,   5,   0,   0,   0, 164.546,  -3.158,  -0.03885,  +0.04949, 0.03146, 0.05810,-0.40546
1055-242,   3,   3,   3,   2, 164.481, -24.564,,,,,
1055-248,   6,   0,   0,   0, 164.476, -25.158,  -0.00637,  +0.02127, 0.01202, 0.03842, 0.09920
1055-301,  11,   1,   1,   0, 164.502, -30.415,  -0.02612,  -0.01135, 0.01550, 0.03883, 0.02421
1056+212,  16,   0,   0,   0, 164.913,  20.956,  -0.01455,  +0.01712, 0.00637, 0.01320,-0.01101
1057+100,   5,   0,   0,   0, 165.084,   9.827,  -0.16172,  +2.57180, 2.49016, 2.99057, 0.47349
1057-797, 494,1187,1171,  68, 164.680, -80.065,  -0.00006,  -0.00563, 0.00033, 0.00176, 0.05686
1058+393,   5,   0,   0,   0, 165.375,  39.076,  +0.00016,  +0.01625, 0.00705, 0.01475,-0.50111
1058+629,   5,   0,   0,   0, 165.473,  62.697,  -0.01573,  -0.06506, 0.00527, 0.02118, 0.42798
1058+726,   2,   3,   1,   2, 165.453,  72.427,,,,,
1059+229,   5,   0,   0,   0, 165.513,  22.699,  +0.04282,  -0.02814, 0.03115, 0.05426,-0.40571
1059+282, 120,   8,   7,   1, 165.560,  27.952,  +0.00324,  -0.00466, 0.00292, 0.00520,-0.20321
1059-438,   3,   3,   3,   1, 165.520, -44.073,,,,,
1100+122,  38,   2,   0,   2, 165.765,  11.971,  +0.01645,  -0.01331, 0.00974, 0.01837,-0.08578
1100+223,   5,   0,   0,   0, 165.846,  22.060,  -0.01997,  -0.00407, 0.01987, 0.03165,-0.28200
1101+077,   5,   0,   0,   0, 166.100,   7.515,  +0.00080,  -0.04601, 0.04148, 0.08342,-0.45405
